ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
2350,945010,61867,Haruki Miyata,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,01,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2351,945010,40717,Kentaro Iwanaga,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,02,2,Hooker,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2352,945010,43618,Kento Miyata,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,03,3,Tighthead Prop,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2353,945010,40630,Taro Nishikawa,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,04,4,Lock (4),0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2354,945010,55973,Tomonari Aoki,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,05,5,Lock (5),0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2355,945010,40716,Kota Moriyama,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,06,6,Blindside Flanker,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2356,945010,40725,Kohei Matsunaga,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,07,7,Openside Flanker,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2357,945010,58309,Shintaro Matsuda,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,28,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2358,945010,56093,Kei Takusagawa,588,Kurita Water Gush Akishima,4753.60,4755.08,5749,2,34,63,0,0,29,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,01,1,Loosehead Prop,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,N,W,0,,0,
2359,945010,43637,Kota Hojo,588,Kurita Water Gush Akishima,4753.60,4755.08,5749,2,34,63,0,0,29,,0,,359,Lost Pen Con,365,Neutral,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,02,2,Hooker,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,N,W,0,,0,
